rate_date,from_currency,to_currency,rate
2023-01-01,INR,USD,0.012116
2023-01-01,GBP,USD,1.203755
2023-01-01,AED,USD,0.272292
2023-01-01,SGD,USD,0.747767
2023-01-01,USD,USD,1.0
2023-01-02,INR,USD,0.012111
2023-01-02,GBP,USD,1.19469
2023-01-02,AED,USD,0.272298
2023-01-02,SGD,USD,0.747212
2023-01-02,USD,USD,1.0
2023-01-03,INR,USD,0.012104
2023-01-03,GBP,USD,1.195373
2023-01-03,AED,USD,0.272302
2023-01-03,SGD,USD,0.749693
2023-01-03,USD,USD,1.0
2023-01-04,INR,USD,0.012123
2023-01-04,GBP,USD,1.196024
2023-01-04,AED,USD,0.272289
2023-01-04,SGD,USD,0.747551
2023-01-04,USD,USD,1.0
2023-01-05,INR,USD,0.012129
2023-01-05,GBP,USD,1.203937
2023-01-05,AED,USD,0.27229
2023-01-05,SGD,USD,0.747338
2023-01-05,USD,USD,1.0
2023-01-06,INR,USD,0.012145
2023-01-06,GBP,USD,1.195135
2023-01-06,AED,USD,0.272285
2023-01-06,SGD,USD,0.748389
2023-01-06,USD,USD,1.0
2023-01-07,INR,USD,0.012171
2023-01-07,GBP,USD,1.193671
2023-01-07,AED,USD,0.272291
2023-01-07,SGD,USD,0.748928
2023-01-07,USD,USD,1.0
2023-01-08,INR,USD,0.012194
2023-01-08,GBP,USD,1.186978
2023-01-08,AED,USD,0.272301
2023-01-08,SGD,USD,0.745731
2023-01-08,USD,USD,1.0
2023-01-09,INR,USD,0.012113
2023-01-09,GBP,USD,1.183339
2023-01-09,AED,USD,0.272285
2023-01-09,SGD,USD,0.747597
2023-01-09,USD,USD,1.0
2023-01-10,INR,USD,0.012132
2023-01-10,GBP,USD,1.176076
2023-01-10,AED,USD,0.2723
2023-01-10,SGD,USD,0.745488
2023-01-10,USD,USD,1.0
2023-01-11,INR,USD,0.012128
2023-01-11,GBP,USD,1.17432
2023-01-11,AED,USD,0.272302
2023-01-11,SGD,USD,0.747232
2023-01-11,USD,USD,1.0
2023-01-12,INR,USD,0.012147
2023-01-12,GBP,USD,1.176378
2023-01-12,AED,USD,0.272313
2023-01-12,SGD,USD,0.748258
2023-01-12,USD,USD,1.0
2023-01-13,INR,USD,0.012127
2023-01-13,GBP,USD,1.172118
2023-01-13,AED,USD,0.272305
2023-01-13,SGD,USD,0.74933
2023-01-13,USD,USD,1.0
2023-01-14,INR,USD,0.012118
2023-01-14,GBP,USD,1.185981
2023-01-14,AED,USD,0.272291
2023-01-14,SGD,USD,0.747011
2023-01-14,USD,USD,1.0
2023-01-15,INR,USD,0.012141
2023-01-15,GBP,USD,1.194495
2023-01-15,AED,USD,0.272299
2023-01-15,SGD,USD,0.748795
2023-01-15,USD,USD,1.0
2023-01-16,INR,USD,0.012184
2023-01-16,GBP,USD,1.193914
2023-01-16,AED,USD,0.272275
2023-01-16,SGD,USD,0.747678
2023-01-16,USD,USD,1.0
2023-01-17,INR,USD,0.012212
2023-01-17,GBP,USD,1.185244
2023-01-17,AED,USD,0.272275
2023-01-17,SGD,USD,0.748227
2023-01-17,USD,USD,1.0
2023-01-18,INR,USD,0.012202
2023-01-18,GBP,USD,1.189559
2023-01-18,AED,USD,0.272285
2023-01-18,SGD,USD,0.753179
2023-01-18,USD,USD,1.0
2023-01-19,INR,USD,0.01222
2023-01-19,GBP,USD,1.185896
2023-01-19,AED,USD,0.272276
2023-01-19,SGD,USD,0.751417
2023-01-19,USD,USD,1.0
2023-01-20,INR,USD,0.012248
2023-01-20,GBP,USD,1.182499
2023-01-20,AED,USD,0.272275
2023-01-20,SGD,USD,0.753027
2023-01-20,USD,USD,1.0
2023-01-21,INR,USD,0.012225
2023-01-21,GBP,USD,1.180735
2023-01-21,AED,USD,0.272243
2023-01-21,SGD,USD,0.750732
2023-01-21,USD,USD,1.0
2023-01-22,INR,USD,0.012207
2023-01-22,GBP,USD,1.183197
2023-01-22,AED,USD,0.272263
2023-01-22,SGD,USD,0.750704
2023-01-22,USD,USD,1.0
2023-01-23,INR,USD,0.012214
2023-01-23,GBP,USD,1.184183
2023-01-23,AED,USD,0.272282
2023-01-23,SGD,USD,0.75262
2023-01-23,USD,USD,1.0
2023-01-24,INR,USD,0.012221
2023-01-24,GBP,USD,1.178151
2023-01-24,AED,USD,0.272298
2023-01-24,SGD,USD,0.753445
2023-01-24,USD,USD,1.0
2023-01-25,INR,USD,0.012258
2023-01-25,GBP,USD,1.177958
2023-01-25,AED,USD,0.272331
2023-01-25,SGD,USD,0.752691
2023-01-25,USD,USD,1.0
2023-01-26,INR,USD,0.012306
2023-01-26,GBP,USD,1.178627
2023-01-26,AED,USD,0.272322
2023-01-26,SGD,USD,0.750299
2023-01-26,USD,USD,1.0
2023-01-27,INR,USD,0.012301
2023-01-27,GBP,USD,1.187096
2023-01-27,AED,USD,0.272336
2023-01-27,SGD,USD,0.751777
2023-01-27,USD,USD,1.0
2023-01-28,INR,USD,0.012227
2023-01-28,GBP,USD,1.191342
2023-01-28,AED,USD,0.272346
2023-01-28,SGD,USD,0.750618
2023-01-28,USD,USD,1.0
2023-01-29,INR,USD,0.012206
2023-01-29,GBP,USD,1.191313
2023-01-29,AED,USD,0.272375
2023-01-29,SGD,USD,0.748388
2023-01-29,USD,USD,1.0
2023-01-30,INR,USD,0.012192
2023-01-30,GBP,USD,1.199502
2023-01-30,AED,USD,0.272368
2023-01-30,SGD,USD,0.747628
2023-01-30,USD,USD,1.0
2023-01-31,INR,USD,0.012194
2023-01-31,GBP,USD,1.192006
2023-01-31,AED,USD,0.272371
2023-01-31,SGD,USD,0.745081
2023-01-31,USD,USD,1.0
2023-02-01,INR,USD,0.012221
2023-02-01,GBP,USD,1.19201
2023-02-01,AED,USD,0.272411
2023-02-01,SGD,USD,0.745686
2023-02-01,USD,USD,1.0
2023-02-02,INR,USD,0.012262
2023-02-02,GBP,USD,1.184192
2023-02-02,AED,USD,0.272408
2023-02-02,SGD,USD,0.746381
2023-02-02,USD,USD,1.0
2023-02-03,INR,USD,0.012315
2023-02-03,GBP,USD,1.174188
2023-02-03,AED,USD,0.272425
2023-02-03,SGD,USD,0.747645
2023-02-03,USD,USD,1.0
2023-02-04,INR,USD,0.012362
2023-02-04,GBP,USD,1.178396
2023-02-04,AED,USD,0.272426
2023-02-04,SGD,USD,0.746552
2023-02-04,USD,USD,1.0
2023-02-05,INR,USD,0.012322
2023-02-05,GBP,USD,1.179542
2023-02-05,AED,USD,0.272423
2023-02-05,SGD,USD,0.750852
2023-02-05,USD,USD,1.0
2023-02-06,INR,USD,0.012302
2023-02-06,GBP,USD,1.181434
2023-02-06,AED,USD,0.272396
2023-02-06,SGD,USD,0.750022
2023-02-06,USD,USD,1.0
2023-02-07,INR,USD,0.012309
2023-02-07,GBP,USD,1.186334
2023-02-07,AED,USD,0.272421
2023-02-07,SGD,USD,0.74994
2023-02-07,USD,USD,1.0
2023-02-08,INR,USD,0.012274
2023-02-08,GBP,USD,1.18906
2023-02-08,AED,USD,0.27243
2023-02-08,SGD,USD,0.750998
2023-02-08,USD,USD,1.0
2023-02-09,INR,USD,0.012251
2023-02-09,GBP,USD,1.195856
