obs_date,store_no,city,country,temp_max_c,temp_min_c,precipitation_mm,condition
2023-01-01,33487,Kolkata,India,19.6,12.7,10.4,RAINY
2023-01-01,39876,Mumbai,India,24.7,13.5,5.0,CLOUDY
2023-01-01,41203,Delhi,India,14.9,9.7,3.7,CLOUDY
2023-01-01,44512,Bangalore,India,25.7,19.2,0.0,SUNNY
2023-01-01,47889,Chennai,India,26.1,18.1,1.3,CLOUDY
2023-01-01,51234,Hyderabad,India,24.4,18.7,1.5,CLOUDY
2023-01-01,53901,Kochi,India,27.1,18.9,4.0,CLOUDY
2023-01-01,56123,Bangalore,India,22.2,11.0,4.3,CLOUDY
2023-01-01,58745,Ahmedabad,India,27.8,16.7,0.0,PARTLY_CLOUDY
2023-01-01,62003,Delhi,India,14.7,5.3,0.0,PARTLY_CLOUDY
2023-01-01,64301,Chandigarh,India,15.7,5.8,0.0,SUNNY
2023-01-01,66782,Mumbai,India,28.7,19.4,4.3,CLOUDY
2023-01-01,70001,Los Angeles,USA,17.3,7.5,0.0,SUNNY
2023-01-01,70002,Minneapolis,USA,-5.1,-11.7,1.1,SNOWY
2023-01-01,70003,Dallas,USA,16.7,9.5,0.0,PARTLY_CLOUDY
2023-01-01,70004,Washington DC,USA,5.9,-5.3,0.0,SUNNY
2023-01-01,70005,Philadelphia,USA,1.3,-7.6,4.0,SNOWY
2023-01-01,80001,London,UK,8.0,1.5,0.0,SUNNY
2023-01-01,80002,London,UK,11.7,0.7,0.4,CLOUDY
2023-01-01,80003,Manchester,UK,4.3,-4.9,0.0,PARTLY_CLOUDY
2023-01-01,80004,Sheffield,UK,14.5,3.5,4.6,CLOUDY
2023-01-01,90001,Dubai,UAE,20.9,12.1,0.0,SUNNY
2023-01-01,90002,Dubai,UAE,20.8,14.7,0.6,CLOUDY
2023-01-01,90003,Abu Dhabi,UAE,21.8,10.0,0.0,SUNNY
2023-01-01,95001,Singapore,Singapore,33.9,26.8,8.8,RAINY
2023-01-01,95002,Singapore,Singapore,31.2,20.9,17.4,RAINY
2023-01-02,33487,Kolkata,India,22.5,17.4,0.0,PARTLY_CLOUDY
2023-01-02,39876,Mumbai,India,24.0,17.3,8.3,RAINY
2023-01-02,41203,Delhi,India,14.8,3.0,0.0,SUNNY
2023-01-02,44512,Bangalore,India,28.3,22.4,0.0,SUNNY
2023-01-02,47889,Chennai,India,28.5,19.3,0.0,SUNNY
2023-01-02,51234,Hyderabad,India,26.2,15.9,0.0,SUNNY
2023-01-02,53901,Kochi,India,31.9,22.4,9.0,RAINY
2023-01-02,56123,Bangalore,India,33.1,26.5,3.3,CLOUDY
2023-01-02,58745,Ahmedabad,India,20.3,10.9,0.2,CLOUDY
2023-01-02,62003,Delhi,India,15.5,5.8,0.4,CLOUDY
2023-01-02,64301,Chandigarh,India,16.1,5.6,0.0,SUNNY
2023-01-02,66782,Mumbai,India,26.0,20.3,4.0,CLOUDY
2023-01-02,70001,Los Angeles,USA,14.9,5.3,0.0,SUNNY
2023-01-02,70002,Minneapolis,USA,-8.0,-15.8,0.6,SNOWY
2023-01-02,70003,Dallas,USA,9.5,-2.0,0.0,SUNNY
2023-01-02,70004,Washington DC,USA,6.0,0.3,0.0,SUNNY
2023-01-02,70005,Philadelphia,USA,6.4,-5.1,0.0,SUNNY
2023-01-02,80001,London,UK,14.0,6.2,0.0,PARTLY_CLOUDY
2023-01-02,80002,London,UK,7.0,2.0,0.0,PARTLY_CLOUDY
2023-01-02,80003,Manchester,UK,5.4,-1.6,0.0,SUNNY
2023-01-02,80004,Sheffield,UK,9.1,-0.9,1.0,CLOUDY
2023-01-02,90001,Dubai,UAE,19.1,10.0,0.0,SUNNY
2023-01-02,90002,Dubai,UAE,19.5,11.2,0.0,SUNNY
2023-01-02,90003,Abu Dhabi,UAE,20.2,14.1,0.0,SUNNY
2023-01-02,95001,Singapore,Singapore,27.9,22.4,0.0,PARTLY_CLOUDY
2023-01-02,95002,Singapore,Singapore,28.2,22.4,0.0,SUNNY
2023-01-03,33487,Kolkata,India,20.0,14.4,0.0,SUNNY
2023-01-03,39876,Mumbai,India,24.5,15.8,0.0,SUNNY
2023-01-03,41203,Delhi,India,15.7,8.8,3.6,CLOUDY
2023-01-03,44512,Bangalore,India,24.0,12.5,0.0,SUNNY
2023-01-03,47889,Chennai,India,39.9,27.9,1.3,CLOUDY
2023-01-03,51234,Hyderabad,India,25.7,14.2,0.0,SUNNY
2023-01-03,53901,Kochi,India,28.6,17.8,12.5,RAINY
2023-01-03,56123,Bangalore,India,22.7,13.1,4.4,CLOUDY
2023-01-03,58745,Ahmedabad,India,21.3,15.6,0.0,PARTLY_CLOUDY
2023-01-03,62003,Delhi,India,15.5,8.5,1.3,CLOUDY
2023-01-03,64301,Chandigarh,India,14.9,8.1,0.0,SUNNY
2023-01-03,66782,Mumbai,India,27.8,22.2,18.4,RAINY
2023-01-03,70001,Los Angeles,USA,14.5,5.6,0.0,SUNNY
2023-01-03,70002,Minneapolis,USA,-2.4,-8.2,0.0,SUNNY
2023-01-03,70003,Dallas,USA,16.3,7.2,0.5,CLOUDY
2023-01-03,70004,Washington DC,USA,5.1,-6.2,0.0,PARTLY_CLOUDY
2023-01-03,70005,Philadelphia,USA,1.8,-3.9,0.0,PARTLY_CLOUDY
2023-01-03,80001,London,UK,7.9,-3.9,0.0,SUNNY
2023-01-03,80002,London,UK,12.2,1.5,0.0,SUNNY
2023-01-03,80003,Manchester,UK,12.2,5.9,0.0,PARTLY_CLOUDY
2023-01-03,80004,Sheffield,UK,6.6,-4.1,0.7,CLOUDY
2023-01-03,90001,Dubai,UAE,26.6,18.4,0.0,SUNNY
2023-01-03,90002,Dubai,UAE,20.0,12.2,0.0,SUNNY
2023-01-03,90003,Abu Dhabi,UAE,24.8,13.0,0.0,SUNNY
2023-01-03,95001,Singapore,Singapore,33.0,22.1,0.3,CLOUDY
2023-01-03,95002,Singapore,Singapore,27.4,20.6,8.4,RAINY
2023-01-04,33487,Kolkata,India,20.0,8.1,0.3,CLOUDY
2023-01-04,39876,Mumbai,India,28.2,19.6,0.0,SUNNY
2023-01-04,41203,Delhi,India,15.3,5.6,0.0,SUNNY
2023-01-04,44512,Bangalore,India,27.5,15.9,0.0,SUNNY
2023-01-04,47889,Chennai,India,29.0,19.0,1.9,CLOUDY
2023-01-04,51234,Hyderabad,India,29.1,21.3,0.5,CLOUDY
2023-01-04,53901,Kochi,India,32.6,21.3,4.2,CLOUDY
2023-01-04,56123,Bangalore,India,23.2,18.2,1.9,CLOUDY
2023-01-04,58745,Ahmedabad,India,22.5,14.4,2.0,CLOUDY
2023-01-04,62003,Delhi,India,17.7,7.1,0.3,CLOUDY
2023-01-04,64301,Chandigarh,India,14.4,3.7,0.0,SUNNY
2023-01-04,66782,Mumbai,India,26.7,19.5,0.0,SUNNY
2023-01-04,70001,Los Angeles,USA,17.0,8.7,0.0,SUNNY
2023-01-04,70002,Minneapolis,USA,-8.5,-16.7,0.0,SUNNY
2023-01-04,70003,Dallas,USA,10.5,3.8,0.0,SUNNY
2023-01-04,70004,Washington DC,USA,7.4,-3.8,0.0,SUNNY
2023-01-04,70005,Philadelphia,USA,1.5,-9.1,0.0,SNOWY
2023-01-04,80001,London,UK,7.8,-1.1,0.0,SUNNY
2023-01-04,80002,London,UK,11.9,2.2,0.0,SUNNY
2023-01-04,80003,Manchester,UK,5.9,-1.3,0.0,PARTLY_CLOUDY
2023-01-04,80004,Sheffield,UK,8.8,0.3,0.0,SUNNY
2023-01-04,90001,Dubai,UAE,23.1,15.0,0.0,PARTLY_CLOUDY
2023-01-04,90002,Dubai,UAE,25.4,14.5,0.0,SUNNY
2023-01-04,90003,Abu Dhabi,UAE,21.1,12.7,0.0,PARTLY_CLOUDY
2023-01-04,95001,Singapore,Singapore,29.9,23.0,6.9,RAINY
2023-01-04,95002,Singapore,Singapore,28.5,21.9,4.4,CLOUDY
2023-01-05,33487,Kolkata,India,21.4,13.5,0.0,SUNNY
2023-01-05,39876,Mumbai,India,25.4,13.8,6.1,RAINY
2023-01-05,41203,Delhi,India,15.2,4.0,0.0,SUNNY
2023-01-05,44512,Bangalore,India,24.8,14.6,0.0,SUNNY
2023-01-05,47889,Chennai,India,29.7,22.8,2.6,CLOUDY
2023-01-05,51234,Hyderabad,India,24.8,14.2,0.0,PARTLY_CLOUDY
2023-01-05,53901,Kochi,India,36.8,28.1,0.0,SUNNY
2023-01-05,56123,Bangalore,India,26.4,17.4,4.1,CLOUDY
2023-01-05,58745,Ahmedabad,India,21.2,13.5,1.2,CLOUDY
2023-01-05,62003,Delhi,India,14.3,6.6,0.0,PARTLY_CLOUDY
2023-01-05,64301,Chandigarh,India,12.0,6.9,0.0,PARTLY_CLOUDY
2023-01-05,66782,Mumbai,India,25.7,19.1,0.4,CLOUDY
2023-01-05,70001,Los Angeles,USA,17.0,10.3,0.0,SUNNY
2023-01-05,70002,Minneapolis,USA,-4.3,-13.2,4.4,SNOWY
2023-01-05,70003,Dallas,USA,14.2,8.4,0.0,PARTLY_CLOUDY
2023-01-05,70004,Washington DC,USA,7.1,1.3,1.5,CLOUDY
2023-01-05,70005,Philadelphia,USA,4.9,-5.1,5.9,RAINY
2023-01-05,80001,London,UK,6.0,0.3,0.0,SUNNY
2023-01-05,80002,London,UK,6.6,-5.3,0.0,PARTLY_CLOUDY
2023-01-05,80003,Manchester,UK,5.2,-3.5,0.0,SUNNY
2023-01-05,80004,Sheffield,UK,7.7,-3.2,0.0,SUNNY
2023-01-05,90001,Dubai,UAE,19.1,11.1,0.0,PARTLY_CLOUDY
2023-01-05,90002,Dubai,UAE,20.1,10.0,0.0,PARTLY_CLOUDY
2023-01-05,90003,Abu Dhabi,UAE,23.1,13.8,0.0,PARTLY_CLOUDY
2023-01-05,95001,Singapore,Singapore,34.3,25.2,2.3,CLOUDY
2023-01-05,95002,Singapore,Singapore,28.6,21.6,15.3,RAINY
2023-01-06,33487,Kolkata,India,20.8,12.3,4.2,CLOUDY
2023-01-06,39876,Mumbai,India,27.2,20.4,9.1,RAINY
2023-01-06,41203,Delhi,India,18.5,12.2,1.6,CLOUDY
2023-01-06,44512,Bangalore,India,22.7,16.0,0.0,SUNNY
2023-01-06,47889,Chennai,India,33.1,27.4,7.6,RAINY
2023-01-06,51234,Hyderabad,India,22.4,13.3,0.0,SUNNY
2023-01-06,53901,Kochi,India,34.5,25.6,7.3,RAINY
2023-01-06,56123,Bangalore,India,32.2,25.6,0.0,PARTLY_CLOUDY
2023-01-06,58745,Ahmedabad,India,23.6,13.3,0.7,CLOUDY
2023-01-06,62003,Delhi,India,17.4,7.3,0.0,SUNNY
2023-01-06,64301,Chandigarh,India,21.2,10.4,1.9,CLOUDY
2023-01-06,66782,Mumbai,India,30.4,20.4,3.1,CLOUDY
2023-01-06,70001,Los Angeles,USA,18.3,12.6,0.5,CLOUDY
2023-01-06,70002,Minneapolis,USA,-3.9,-11.3,0.0,SNOWY
2023-01-06,70003,Dallas,USA,10.3,4.8,0.0,SUNNY
2023-01-06,70004,Washington DC,USA,4.5,-4.9,0.7,SNOWY
2023-01-06,70005,Philadelphia,USA,3.0,-7.4,0.0,SUNNY
2023-01-06,80001,London,UK,5.1,-5.3,0.0,PARTLY_CLOUDY
2023-01-06,80002,London,UK,12.8,5.7,0.0,SUNNY
2023-01-06,80003,Manchester,UK,13.3,1.6,6.0,RAINY
2023-01-06,80004,Sheffield,UK,4.2,-2.5,0.0,SUNNY
2023-01-06,90001,Dubai,UAE,20.6,15.6,0.0,SUNNY
2023-01-06,90002,Dubai,UAE,20.0,13.0,0.0,PARTLY_CLOUDY
2023-01-06,90003,Abu Dhabi,UAE,19.2,13.7,0.0,PARTLY_CLOUDY
2023-01-06,95001,Singapore,Singapore,28.3,18.7,0.0,PARTLY_CLOUDY
2023-01-06,95002,Singapore,Singapore,32.4,26.6,1.4,CLOUDY
2023-01-07,33487,Kolkata,India,19.9,9.4,0.0,SUNNY
2023-01-07,39876,Mumbai,India,25.1,13.7,5.9,RAINY
2023-01-07,41203,Delhi,India,16.6,7.8,0.0,SUNNY
2023-01-07,44512,Bangalore,India,22.8,17.5,0.0,PARTLY_CLOUDY
2023-01-07,47889,Chennai,India,26.7,20.1,0.0,SUNNY
2023-01-07,51234,Hyderabad,India,22.6,13.5,6.7,RAINY
2023-01-07,53901,Kochi,India,33.0,26.8,7.0,RAINY
2023-01-07,56123,Bangalore,India,24.1,12.1,0.0,PARTLY_CLOUDY
2023-01-07,58745,Ahmedabad,India,24.4,16.5,1.6,CLOUDY
2023-01-07,62003,Delhi,India,14.9,5.3,0.0,SUNNY
2023-01-07,64301,Chandigarh,India,13.7,6.9,8.5,RAINY
2023-01-07,66782,Mumbai,India,24.4,13.6,0.6,CLOUDY
2023-01-07,70001,Los Angeles,USA,17.4,9.3,0.4,CLOUDY
2023-01-07,70002,Minneapolis,USA,-5.7,-12.7,0.0,SNOWY
2023-01-07,70003,Dallas,USA,14.5,3.9,0.0,PARTLY_CLOUDY
2023-01-07,70004,Washington DC,USA,4.0,-4.9,0.0,SNOWY
2023-01-07,70005,Philadelphia,USA,9.8,1.6,6.6,RAINY
2023-01-07,80001,London,UK,5.4,-1.5,0.0,PARTLY_CLOUDY
2023-01-07,80002,London,UK,5.2,-2.5,0.0,SUNNY
2023-01-07,80003,Manchester,UK,9.1,-1.1,0.2,CLOUDY
2023-01-07,80004,Sheffield,UK,6.2,-4.3,0.0,SUNNY
2023-01-07,90001,Dubai,UAE,21.9,12.8,0.0,SUNNY
2023-01-07,90002,Dubai,UAE,23.3,16.0,0.0,PARTLY_CLOUDY
2023-01-07,90003,Abu Dhabi,UAE,20.5,12.3,0.0,SUNNY
2023-01-07,95001,Singapore,Singapore,29.9,22.2,0.0,PARTLY_CLOUDY
2023-01-07,95002,Singapore,Singapore,27.4,22.1,0.0,SUNNY
2023-01-08,33487,Kolkata,India,22.4,10.5,0.0,SUNNY
2023-01-08,39876,Mumbai,India,26.0,14.1,0.4,CLOUDY
2023-01-08,41203,Delhi,India,20.8,9.7,0.0,SUNNY
2023-01-08,44512,Bangalore,India,25.3,13.9,0.5,CLOUDY
2023-01-08,47889,Chennai,India,27.5,17.0,5.9,RAINY
2023-01-08,51234,Hyderabad,India,22.3,16.7,4.6,CLOUDY
2023-01-08,53901,Kochi,India,32.4,21.2,9.8,RAINY
2023-01-08,56123,Bangalore,India,22.6,16.0,0.0,PARTLY_CLOUDY
2023-01-08,58745,Ahmedabad,India,26.6,18.6,3.4,CLOUDY
2023-01-08,62003,Delhi,India,14.1,6.0,0.0,SUNNY
2023-01-08,64301,Chandigarh,India,18.8,11.7,0.7,CLOUDY
2023-01-08,66782,Mumbai,India,26.0,17.0,0.0,SUNNY
2023-01-08,70001,Los Angeles,USA,16.5,8.8,0.0,PARTLY_CLOUDY
2023-01-08,70002,Minneapolis,USA,-4.1,-15.5,1.9,SNOWY
2023-01-08,70003,Dallas,USA,16.2,4.9,0.0,SUNNY
2023-01-08,70004,Washington DC,USA,3.4,-2.1,0.0,SUNNY
2023-01-08,70005,Philadelphia,USA,4.1,-5.7,0.0,SNOWY
2023-01-08,80001,London,UK,14.7,2.7,0.0,SUNNY
2023-01-08,80002,London,UK,5.4,-3.6,0.0,PARTLY_CLOUDY
2023-01-08,80003,Manchester,UK,9.2,4.0,0.0,PARTLY_CLOUDY
2023-01-08,80004,Sheffield,UK,4.8,-5.0,0.0,SNOWY
2023-01-08,90001,Dubai,UAE,24.1,14.9,0.0,PARTLY_CLOUDY
2023-01-08,90002,Dubai,UAE,19.5,8.9,0.0,SUNNY
2023-01-08,90003,Abu Dhabi,UAE,21.9,12.6,0.0,SUNNY
2023-01-08,95001,Singapore,Singapore,27.7,21.7,3.8,CLOUDY
2023-01-08,95002,Singapore,Singapore,33.0,21.6,4.5,CLOUDY
2023-01-09,33487,Kolkata,India,20.9,13.3,1.9,CLOUDY
2023-01-09,39876,Mumbai,India,32.0,20.6,0.0,PARTLY_CLOUDY
2023-01-09,41203,Delhi,India,14.1,8.3,0.0,SUNNY
2023-01-09,44512,Bangalore,India,24.6,14.3,4.6,CLOUDY
2023-01-09,47889,Chennai,India,32.2,23.3,2.7,CLOUDY
2023-01-09,51234,Hyderabad,India,26.6,20.7,1.6,CLOUDY
2023-01-09,53901,Kochi,India,31.1,22.8,12.4,RAINY
2023-01-09,56123,Bangalore,India,25.3,15.9,0.0,SUNNY
2023-01-09,58745,Ahmedabad,India,21.3,15.3,0.0,PARTLY_CLOUDY
2023-01-09,62003,Delhi,India,17.9,5.9,0.8,CLOUDY
2023-01-09,64301,Chandigarh,India,14.9,3.3,0.0,SUNNY
2023-01-09,66782,Mumbai,India,26.5,18.6,0.0,SUNNY
2023-01-09,70001,Los Angeles,USA,18.4,7.6,0.0,PARTLY_CLOUDY
2023-01-09,70002,Minneapolis,USA,-5.2,-10.4,0.0,SNOWY
2023-01-09,70003,Dallas,USA,16.5,10.8,0.0,SUNNY
2023-01-09,70004,Washington DC,USA,5.4,-5.9,0.0,SNOWY
2023-01-09,70005,Philadelphia,USA,2.7,-8.9,0.0,SNOWY
2023-01-09,80001,London,UK,15.4,8.9,0.0,SUNNY
2023-01-09,80002,London,UK,8.4,-3.5,0.0,SUNNY
2023-01-09,80003,Manchester,UK,5.1,-0.4,0.0,SUNNY
2023-01-09,80004,Sheffield,UK,10.3,3.7,0.0,SUNNY
2023-01-09,90001,Dubai,UAE,22.8,17.8,0.0,SUNNY
2023-01-09,90002,Dubai,UAE,24.0,13.4,0.0,SUNNY
2023-01-09,90003,Abu Dhabi,UAE,19.4,13.5,0.0,SUNNY
2023-01-09,95001,Singapore,Singapore,27.6,20.7,4.6,CLOUDY
2023-01-09,95002,Singapore,Singapore,27.4,22.0,3.7,CLOUDY
2023-01-10,33487,Kolkata,India,21.7,12.4,0.0,SUNNY
2023-01-10,39876,Mumbai,India,24.8,16.1,6.1,RAINY
2023-01-10,41203,Delhi,India,15.8,4.4,0.3,CLOUDY
2023-01-10,44512,Bangalore,India,25.3,19.8,3.9,CLOUDY
2023-01-10,47889,Chennai,India,31.9,23.2,5.5,RAINY
2023-01-10,51234,Hyderabad,India,33.5,23.6,0.0,SUNNY
2023-01-10,53901,Kochi,India,30.6,19.5,19.7,RAINY
